Level,ID,Name,ParentID,ParentName,FullPath,URL
3,1229127,"수영/수상스포츠",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 수영/수상스포츠",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229127
3,1229126,"상의",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 상의",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229126
3,1229131,"자전거",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 자전거",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229131
3,1229128,"스키/겨울스포츠",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 스키/겨울스포츠",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229128
3,1229134,"하의/세트",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 하의/세트",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229134
3,1229135,"헬스/요가",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 헬스/요가",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229135
3,1229122,"기타 스포츠",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 기타 스포츠",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229122
3,1229129,"야구",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 야구",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229129
3,1229133,"축구",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 축구",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229133
3,1229130,"언더웨어/브라탑",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 언더웨어/브라탑",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229130
3,1229132,"재킷/점퍼/집업",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 재킷/점퍼/집업",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229132
3,1229120,"검도/격투/무술",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 검도/격투/무술",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229120
3,1229124,"메이저 스포츠",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 메이저 스포츠",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229124
3,1229123,"등산복",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 등산복",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229123
3,1229121,"골프",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 골프",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229121
3,1229125,"발레",1229119,"스포츠의류","패션/잡화 > 스포츠의류 > 발레",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229125
2,1149937,"언더웨어/홈웨어",1149726,"패션/잡화","패션/잡화 > 언더웨어/홈웨어",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149937
3,1150116,"여성 란제리",1149937,"언더웨어/홈웨어","패션/잡화 > 언더웨어/홈웨어 > 여성 란제리",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150116
3,1150118,"여성 속옷",1149937,"언더웨어/홈웨어","패션/잡화 > 언더웨어/홈웨어 > 여성 속옷",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150118
3,1359070,"캐릭터 속옷",1149937,"언더웨어/홈웨어","패션/잡화 > 언더웨어/홈웨어 > 캐릭터 속옷",https://www.11st.co.kr/amazon/category?dispCtgr3No=1359070
3,1150115,"내복/홈웨어",1149937,"언더웨어/홈웨어","패션/잡화 > 언더웨어/홈웨어 > 내복/홈웨어",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150115
3,1150114,"남성속옷",1149937,"언더웨어/홈웨어","패션/잡화 > 언더웨어/홈웨어 > 남성속옷",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150114
3,1150117,"여성 보정속옷",1149937,"언더웨어/홈웨어","패션/잡화 > 언더웨어/홈웨어 > 여성 보정속옷",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150117
2,1149943,"모자/장갑",1149726,"패션/잡화","패션/잡화 > 모자/장갑",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149943
3,1150160,"모자",1149943,"모자/장갑","패션/잡화 > 모자/장갑 > 모자",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150160
3,1150161,"장갑",1149943,"모자/장갑","패션/잡화 > 모자/장갑 > 장갑",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150161
2,1211988,"스포츠신발",1149726,"패션/잡화","패션/잡화 > 스포츠신발",https://www.11st.co.kr/amazon/category?dispCtgr2No=1211988
3,1229112,"러닝/워킹",1211988,"스포츠신발","패션/잡화 > 스포츠신발 > 러닝/워킹",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229112
3,1229117,"테니스",1211988,"스포츠신발","패션/잡화 > 스포츠신발 > 테니스",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229117
3,1211989,"기타스포츠",1211988,"스포츠신발","패션/잡화 > 스포츠신발 > 기타스포츠",https://www.11st.co.kr/amazon/category?dispCtgr3No=1211989
3,1229115,"배구/피구/족구",1211988,"스포츠신발","패션/잡화 > 스포츠신발 > 배구/피구/족구",https://www.11st.co.kr/amazon/category?dispCtgr3No=1229115
2,1149946,"안경/선글라스/소품",1149726,"패션/잡화","패션/잡화 > 안경/선글라스/소품",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149946
3,1150168,"안경/선글라스",1149946,"안경/선글라스/소품","패션/잡화 > 안경/선글라스/소품 > 안경/선글라스",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150168
3,1150167,"소품",1149946,"안경/선글라스/소품","패션/잡화 > 안경/선글라스/소품 > 소품",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150167
2,1149942,"패션잡화 기타",1149726,"패션/잡화","패션/잡화 > 패션잡화 기타",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149942
3,1150153,"넥타이/넥타이 소품",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 넥타이/넥타이 소품",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150153
3,1150159,"기타 액세서리",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 기타 액세서리",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150159
3,1150154,"손수건/스카프/머플러",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 손수건/스카프/머플러",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150154
3,1150152,"기타 패션잡화",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 기타 패션잡화",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150152
3,1150155,"패션 마스크",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 패션 마스크",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150155
3,1150157,"귀마개",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 귀마개",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150157
3,1150158,"넥워머",1149942,"패션잡화 기타","패션/잡화 > 패션잡화 기타 > 넥워머",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150158
2,1149948,"지갑/벨트",1149726,"패션/잡화","패션/잡화 > 지갑/벨트",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149948
3,1150173,"여성 벨트",1149948,"지갑/벨트","패션/잡화 > 지갑/벨트 > 여성 벨트",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150173
3,1150175,"남성 지갑",1149948,"지갑/벨트","패션/잡화 > 지갑/벨트 > 남성 지갑",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150175
3,1150174,"여성 지갑",1149948,"지갑/벨트","패션/잡화 > 지갑/벨트 > 여성 지갑",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150174
3,1359092,"캐릭터 지갑/벨트/멜빵",1149948,"지갑/벨트","패션/잡화 > 지갑/벨트 > 캐릭터 지갑/벨트/멜빵",https://www.11st.co.kr/amazon/category?dispCtgr3No=1359092
3,1150171,"남성 벨트",1149948,"지갑/벨트","패션/잡화 > 지갑/벨트 > 남성 벨트",https://www.11st.co.kr/amazon/category?dispCtgr3No=1150171
2,1149944,"스타킹/양말",1149726,"패션/잡화","패션/잡화 > 스타킹/양말",https://www.11st.co.kr/amazon/category?dispCtgr2No=1149944
