,,,,,,,,,,,,,,,,,,,,,,,,
,수집카테고리,필터이름,URL,수집상품 개수,필터 누적 매출금액,,사업자명,수집사이트,총 상품개수,매출합계,,,,,,,,,,,,,,
,악기 액세서리,섬김Trade0- 11번가 아마존-악기 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%2595%2585%25EA%25B8%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&brandCd=453658393%2C171452989%2C185611593&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&pageNo=13,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=1,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=2,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=3,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=4,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=5,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=6,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=7,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=8,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=9,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=10,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=11,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=12,,,,,,,,,,,,,,,,,,,,,
,자전거 액세서리,섬김Trade0- 11번가 아마존-자전거 액세서리,https://searchn.11st.co.kr/pc/amazon?kwd=%25EC%259E%2590%25EC%25A0%2584%25EA%25B1%25B0%2520%25EC%2595%25A1%25EC%2584%25B8%25EC%2584%259C%25EB%25A6%25AC&tabId=AMAZON&reviewGrade=4&benefits=MBSHP_PRD%2CNON_MBSHP_FREE_DLV&brandCd=454482325%2C2558413%2C4925752&pageNo=13,,,,,,,,,,,,,,,,,,,,,
